URL,Title,Authors/Creators,"Publication Title","Date Published","Date Deposited","Item Type","Full-text downloads (in total)","Full-text downloads (in the last year)",Scopus,"Retrieved from Scopus","Web of Science®","Retrieved from Web of Science®"
http://eprints.qut.edu.au/106821/,"Investigating output and energy variations and their relationship to delivery QA results using Statistical Process Control for helical tomotherapy","Binny, Diana and Mezzenga, Emilio and Lancaster, Craig M. and Trapp, Jamie and Kairn, Tanya and Crowe, Scott","Physica Medica: European Journal of Medical Physics",2017,"11 May 2017","Journal Article",2,2,"Not found",,"Not found",
http://eprints.qut.edu.au/106820/,"Radiological properties of 3D printed materials in kilovoltage and megavoltage photon beams","Dancewicz, Orrie and Sylvander, Steven and Markwell, Tim and Crowe, Scott and Trapp, Jamie","Physica Medica: European Journal of Medical Physics",2017,"11 May 2017","Journal Article",2,2,"Not found",,"Not found",
http://eprints.qut.edu.au/106836/,"Technical Note: Dose distributions in the vicinity of high-density implants using 3D gel dosimeters","Asena, Andre and Smith, Shaun T. and Kairn, Tanya and Crowe, Scott and Hosokawa, Kazuyuki and Sylvander, Steven and Trapp, Jamie","Medical Physics",2017,"11 May 2017","Journal Article",0,0,"Not found",,"Not found",
http://eprints.qut.edu.au/105538/,"Commissioning a hobby cutting device for radiochromic film preparation","Zolfaghari, Somayeh and Francis, Kirby E. and Kairn, Tanya and Crowe, Scott","Australasian Physical & Engineering Sciences in Medicine",2017,"09 Apr 2017","Journal Article",2,2,"Not found",,"Not found",
http://eprints.qut.edu.au/102659/,"Wearable glass beads for in vivo dosimetry of total skin electron irradiation treatments","Nabankema, Shamirah and Jafari, Shakardokht and Peet, Samuel and Binny, Diana and Sylvander, Steven and Crowe, Scott","Radiation Physics and Chemistry",2016,"05 Jan 2017","Journal Article",2,2,0,"30 Apr 2017","Not found",
http://eprints.qut.edu.au/102418/,"Review of the clinical benefits and implementation of peer review of treatment plans in undergraduate medical dosimetry and radiation therapy training","Chamunyonga, Crispen and Crowe, Scott and Burbery, Julie","Journal of Radiotherapy in Practice",2016,"14 Dec 2016","Journal Article",1,1,0,"30 Apr 2017",,"30 Apr 2017"
http://eprints.qut.edu.au/101834/,"Measuring dose from radiotherapy treatments in the vicinity of a cardiac pacemaker","Peet, Samuel and Wilks, Rachael and Kairn, Tanya and Crowe, Scott","Physica Medica",2016,"24 Nov 2016","Journal Article",3,3,0,"29 Apr 2017",,"29 Apr 2017"
http://eprints.qut.edu.au/100186/,"Monitoring Daily QA 3 constancy for routine quality assurance on linear accelerators","Binny, Diana and Lancaster, Craig M. and Kairn, Tanya and Trapp, Jamie V. and Crowe, Scott B.","Physica Medica: European Journal of Medical Physics",2016,"25 Oct 2016","Journal Article",2,2,0,"29 Apr 2017",,"29 Apr 2017"
http://eprints.qut.edu.au/100102/,"Investigating the use of image thresholding in brachytherapy catheter reconstruction","Binny, Diana and Lancaster, Craig M. and Kairn, Tanya and Trapp, Jamie V. and Back, Phil and Cheuk, Robyn and Crowe, Scott B.","Australasian Physical and Engineering Sciences in Medicine",2016,"25 Oct 2016","Journal Article",2,2,0,"29 Apr 2017",,"29 Apr 2017"
http://eprints.qut.edu.au/98760/,"Technical note: Calibrating radiochromic film in beams of uncertain quality","Peet, Samuel and Wilks, Rachael and Kairn, Tanya and Trapp, Jamie and Crowe, Scott","Medical Physics",2016,"11 Sep 2016","Journal Article",2,2,2,"29 Apr 2017",2,"29 Apr 2017"
http://eprints.qut.edu.au/96484/,"An experimental extrapolation technique using the Gafchromic EBT3 film for relative output factor measurements in small x-ray fields","Morales, Johnny and Butson, Martin and Crowe, Scott and Hill, Robin and Trapp, Jamie","Medical Physics",2016,"03 Jul 2016","Journal Article",3,3,1,"28 Apr 2017",1,"28 Apr 2017"
http://eprints.qut.edu.au/96709/,"Effects of inaccurate small field dose measurements on calculated treatment doses","Kairn, Tanya and Charles, Paul and Crowe, Scott and Trapp, Jamie","Australasian Physical & Engineering Sciences in Medicine",2016,"07 Jul 2016","Journal Article",2,2,0,"28 Apr 2017",,"28 Apr 2017"
http://eprints.qut.edu.au/95913/,"Relationships between gamma criteria and action levels: Results of a multicenter audit of gamma agreement index results","Crowe, Scott and Sutherland, Bess and Wilks, Rachael and Seshadri, Venkatakrishnan and Sylvander, Steven and Trapp, Jamie and Kairn, Tanya","Medical Physics",2016,"02 Jun 2016","Journal Article",2,2,3,"28 Apr 2017",2,"28 Apr 2017"
http://eprints.qut.edu.au/87400/,"A virtual radiation therapy workflow training simulation","Bridge, P. and Crowe, S.B. and Gibson, G. and Ellemor, N.J. and Hargrave, C. and Carmichael, M.",Radiography,2016,"22 Sep 2015","Journal Article",3,0,3,"26 Apr 2017",3,"26 Apr 2017"
